site,site_url,agent,category,severity,adjudicator,title,evidence,human_verdict
akshaya-patra,https://www.akshayapatra.org/,baseline,crawlability,low,no,Missing Form Labels,Found 9 form inputs without associated labels.,
akshaya-patra,https://www.akshayapatra.org/,baseline,other,low,abstain,Non-Descriptive Anchor Text,Found 11 links with generic anchor text.,
akshaya-patra,https://www.akshayapatra.org/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:9600/cdn-cgi/l/email-protection#056c6b636a45646e766d647c6475647177642b6a7762 returned 404.,
akshaya-patra,https://www.akshayapatra.org/,marketplace,non_text_facts,medium,no,"Business facts are published only inside images, with no text equivalent","http://127.0.0.1:9600/about-us (HTTP 200) presents 2 fact-bearing images (2 images across 1 pages) whose alt text is missing or generic, and whose surrounding sections contain fewer than 30 words of prose: https://www.akshayapatra.org/includefiles/userfiles/images/countrymap24.png (alt="""", under ""Ab",
assocham,https://www.assocham.org/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
assocham,https://www.assocham.org/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/assets/pdf/assocham_105th_AGM_Notice_2025.pdf (404), http://127.0.0.1:9600/assets/pdf/form_MGT_7_ASSOCHAM_2024.pdf (404), http://127.0.0.1:9600/CoEtribalentrepreneur/ (404), http://127.0.0.1:9600/aicadr/ (404), http://127.0.0.1:9600/india-sectors.php (404",
assocham,https://www.assocham.org/,baseline,crawlability,high,no,Missing Canonical Tag,"No <link rel=""canonical""> tag found.",
assocham,https://www.assocham.org/,baseline,other,high,abstain,Render-Blocking CSS,Found 7 blocking stylesheets in <head>.,
assocham,https://www.assocham.org/,baseline,crawlability,high,no,Missing Image Alt Text,25 out of 353 images lack an alt attribute.,
assocham,https://www.assocham.org/,baseline,other,high,abstain,Missing Meta Description,No meta description found.,
assocham,https://www.assocham.org/,baseline,content_extraction,high,no,Thin Content,Word count is 258.,
assocham,https://www.assocham.org/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
assocham,https://www.assocham.org/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 227 characters.,
assocham,https://www.assocham.org/,baseline,other,medium,abstain,Skipped Heading Levels,Heading skipped from H1 to H4.,
assocham,https://www.assocham.org/,baseline,other,medium,abstain,Excessive DOM Size,Found 4499 HTML elements.,
assocham,https://www.assocham.org/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
assocham,https://www.assocham.org/,baseline,crawlability,medium,no,Missing HTML Lang Attribute,The <html> tag has no 'lang' attribute.,
assocham,https://www.assocham.org/,baseline,other,medium,abstain,Images Missing Lazy Loading,"76 images lack loading=""lazy"".",
assocham,https://www.assocham.org/,baseline,content_extraction,medium,no,Duplicate Meta Descriptions,Meta description is shared across 2 pages.,
assocham,https://www.assocham.org/,baseline,other,low,abstain,Multiple H1 Tags,Found 26 <h1> tags.,
assocham,https://www.assocham.org/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 629 links missing rel=""noopener"" or rel=""noreferrer"".",
assocham,https://www.assocham.org/,baseline,crawlability,low,no,Missing Form Labels,Found 10 form inputs without associated labels.,
assocham,https://www.assocham.org/,baseline,other,low,abstain,Non-Descriptive Anchor Text,Found 10 links with generic anchor text.,
assocham,https://www.assocham.org/,baseline,content_extraction,low,no,Low Text-to-HTML Ratio,Ratio is 0.80% (<10%).,
assocham,https://www.assocham.org/,baseline,crawlability,low,no,Suboptimal URL Structure,Contains uppercase letters,
assocham,https://www.assocham.org/,deterministic,entity_identity,high,abstain,Inconsistent Entity/Brand Names,"The website uses 4 different names to refer to the same entity: 'ASSOCHAM', 'About Us', 'Achievements', 'Employee Recognition Awards'. This creates ambiguity for AI systems trying to identify and cite the brand. An AI assistant may not recognize these as the same company.",
assocham,https://www.assocham.org/,reasoning,entity_identity,high,abstain,Entity Identity Ambiguity,"An AI system attempting to identify this brand would encounter 4 different names: 'ASSOCHAM', 'About Us', 'Achievements', 'Employee Recognition Awards'. These map to 4 distinct root names. This makes it impossible for AI to confidently associate facts with a single entity.",
assocham,https://www.assocham.org/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:9600/overview-sector.php?name=animation-visual-effects-gaming-comics-avgc returned 404.,
assocham,https://www.assocham.org/,specialist,entity_identity,high,abstain,Entity Name Inconsistency,"4 distinct names across 4 roots: 'ASSOCHAM', 'About Us', 'Achievements', 'Employee Recognition Awards'.",
assocham,https://www.assocham.org/,hybrid,entity_identity,high,abstain,Entity Identity Ambiguity,"An AI system attempting to identify this brand would encounter 4 different names: 'ASSOCHAM', 'About Us', 'Achievements', 'Employee Recognition Awards'. These map to 4 distinct root names. This makes it impossible for AI to confidently associate facts with a single entity.",
barbeque-nation,https://www.barbequenation.com/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
barbeque-nation,https://www.barbequenation.com/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/restaurants (404), http://127.0.0.1:9600/catering (404), http://127.0.0.1:9600/ubq-delivery (404), http://127.0.0.1:9600/catering (404), http://127.0.0.1:9600/ubq-delivery (404), http://127.0.0.1:9600/catering (404), http://127.0.0.1:9600/ubq-delivery (40",
barbeque-nation,https://www.barbequenation.com/,baseline,other,high,abstain,Missing H1 Tag,No <h1> tag found in the HTML.,
barbeque-nation,https://www.barbequenation.com/,baseline,content_extraction,high,abstain,Thin Content,Word count is 76.,
barbeque-nation,https://www.barbequenation.com/,baseline,other,high,abstain,Render-Blocking CSS,Found 7 blocking stylesheets in <head>.,
barbeque-nation,https://www.barbequenation.com/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
barbeque-nation,https://www.barbequenation.com/,baseline,crawlability,medium,no,Canonical Points to Different URL,Canonical href (https://www.barbequenation.com) differs from page URL (http://127.0.0.1:9600/).,
barbeque-nation,https://www.barbequenation.com/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 115 characters.,
barbeque-nation,https://www.barbequenation.com/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 219 characters.,
barbeque-nation,https://www.barbequenation.com/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
barbeque-nation,https://www.barbequenation.com/,baseline,other,medium,abstain,Skipped Heading Levels,Heading skipped from H1 to H3.,
barbeque-nation,https://www.barbequenation.com/,baseline,content_extraction,low,abstain,Low Text-to-HTML Ratio,Ratio is 0.53% (<10%).,
barbeque-nation,https://www.barbequenation.com/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 10 links missing rel=""noopener"" or rel=""noreferrer"".",
barbeque-nation,https://www.barbequenation.com/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:9600/webform/barbeque-nation-partnership returned 404.,
beardo,https://beardo.in/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
beardo,https://beardo.in/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/collections/beard-color (404), http://127.0.0.1:9600/collections/beard-tools (404), http://127.0.0.1:9600/collections/beard (404), http://127.0.0.1:9600/collections/combos-1 (404), http://127.0.0.1:9600/collections/under-999-combos (404), http://127.0.0.1",
beardo,https://beardo.in/,baseline,content_extraction,high,no,Thin Content,Word count is 126.,
beardo,https://beardo.in/,baseline,other,high,abstain,Render-Blocking CSS,Found 4 blocking stylesheets in <head>.,
beardo,https://beardo.in/,baseline,crawlability,high,no,Missing Image Alt Text,1 out of 323 images lack an alt attribute.,
beardo,https://beardo.in/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
beardo,https://beardo.in/,baseline,crawlability,medium,no,Canonical Points to Different URL,Canonical href (https://beardo.in/) differs from page URL (http://127.0.0.1:9600/).,
beardo,https://beardo.in/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 65 characters.,
beardo,https://beardo.in/,baseline,other,medium,abstain,Excessive DOM Size,Found 5320 HTML elements.,
beardo,https://beardo.in/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
beardo,https://beardo.in/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 170 characters.,
beardo,https://beardo.in/,baseline,content_extraction,medium,no,Duplicate Meta Descriptions,Meta description is shared across 2 pages.,
beardo,https://beardo.in/,baseline,content_extraction,low,no,Low Text-to-HTML Ratio,Ratio is 0.15% (<10%).,
beardo,https://beardo.in/,baseline,crawlability,low,no,Missing Form Labels,Found 114 form inputs without associated labels.,
beardo,https://beardo.in/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:9600/collections/luxe-fragrance-collection returned 404.,
bharat-forge,https://www.bharatforge.com/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
bharat-forge,https://www.bharatforge.com/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/media/media-kit (404), http://127.0.0.1:9600/media/movies (404), http://127.0.0.1:9600/assets/pdf/media/CCI_Form_III_(A4)-18.03.25-C-2024-10-1197.pdf (404), http://127.0.0.1:9600/careers/careers (404), http://127.0.0.1:9600/contact-us/contact (404), http:",
bharat-forge,https://www.bharatforge.com/,baseline,other,high,abstain,Missing H1 Tag,No <h1> tag found in the HTML.,
bharat-forge,https://www.bharatforge.com/,baseline,content_extraction,high,no,Thin Content,Word count is 68.,
bharat-forge,https://www.bharatforge.com/,baseline,other,high,abstain,Missing Meta Description,No meta description found.,
bharat-forge,https://www.bharatforge.com/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
bharat-forge,https://www.bharatforge.com/,baseline,crawlability,medium,no,Canonical Points to Different URL,Canonical href (https://www.bharatforge.com) differs from page URL (http://127.0.0.1:9600/).,
bharat-forge,https://www.bharatforge.com/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 296 characters.,
bharat-forge,https://www.bharatforge.com/,baseline,other,medium,abstain,Images Missing Lazy Loading,"19 images lack loading=""lazy"".",
bharat-forge,https://www.bharatforge.com/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
bharat-forge,https://www.bharatforge.com/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 28 characters.,
bharat-forge,https://www.bharatforge.com/,baseline,content_extraction,low,no,Low Text-to-HTML Ratio,Ratio is 0.28% (<10%).,
bharat-forge,https://www.bharatforge.com/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 29 links missing rel=""noopener"" or rel=""noreferrer"".",
bharat-forge,https://www.bharatforge.com/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:9600/assets/pdf/media/CCI_Form_III_(A4)-18.03.25-C-2024-10-1197.pdf returned 404.,
bharat-forge,https://www.bharatforge.com/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 6440 characters of extractable text across 3 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 5 distinct organisation names occupy the identity slots: ""Bharat Forge"" (title); ""Kalyani Powertrain Private Limited"" (body 'formerly'); ""Leading Forging Company in India"" (title); ""Nouveau Pow",
bhel,https://www.bhel.com/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
bhel,https://www.bhel.com/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/contact-us (404), http://127.0.0.1:9600/62AGM (404), http://127.0.0.1:9600/annual-report-2025-26 (404), http://127.0.0.1:9600/screen-reader-access (404), http://127.0.0.1:9600/hi (404), http://127.0.0.1:9600/about-us (404), http://127.0.0.1:9600/history-b",
bhel,https://www.bhel.com/,baseline,crawlability,high,no,Multiple Canonical Tags,Found 2 canonical tags.,
bhel,https://www.bhel.com/,baseline,other,high,abstain,Missing H1 Tag,No <h1> tag found in the HTML.,
bhel,https://www.bhel.com/,baseline,content_extraction,high,abstain,Thin Content,Word count is 193.,
bhel,https://www.bhel.com/,baseline,other,high,abstain,Render-Blocking CSS,Found 40 blocking stylesheets in <head>.,
bhel,https://www.bhel.com/,baseline,other,high,abstain,Render-Blocking Scripts,Found 54 blocking scripts in <head>.,
bhel,https://www.bhel.com/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
bhel,https://www.bhel.com/,baseline,crawlability,medium,no,Canonical Points to Different URL,Canonical href (http://www.bhel.com/node) differs from page URL (http://127.0.0.1:9600/).,
bhel,https://www.bhel.com/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 72 characters.,
bhel,https://www.bhel.com/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 277 characters.,
bhel,https://www.bhel.com/,baseline,structured_data,medium,no,Missing JSON-LD,No JSON-LD script tags found.,
bhel,https://www.bhel.com/,baseline,structured_data,medium,no,Missing Open Graph Tags,"Missing tags: og:title, og:image",
bhel,https://www.bhel.com/,baseline,other,medium,abstain,Excessive DOM Size,Found 1700 HTML elements.,
bhel,https://www.bhel.com/,baseline,other,medium,abstain,Images Missing Lazy Loading,"119 images lack loading=""lazy"".",
bhel,https://www.bhel.com/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
bhel,https://www.bhel.com/,baseline,other,medium,abstain,Skipped Heading Levels,Heading skipped from H2 to H6.,
bhel,https://www.bhel.com/,baseline,content_extraction,medium,abstain,Duplicate Meta Descriptions,Meta description is shared across 3 pages.,
bhel,https://www.bhel.com/,baseline,structured_data,low,no,Missing Twitter Card,No twitter:card meta tag found.,
bhel,https://www.bhel.com/,baseline,content_extraction,low,abstain,Low Text-to-HTML Ratio,Ratio is 0.89% (<10%).,
bhel,https://www.bhel.com/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 36 links missing rel=""noopener"" or rel=""noreferrer"".",
bhel,https://www.bhel.com/,baseline,crawlability,low,no,Missing Form Labels,Found 1 form inputs without associated labels.,
bhel,https://www.bhel.com/,deterministic,entity_identity,high,abstain,Inconsistent Entity/Brand Names,"The website uses 5 different names to refer to the same entity: '- All Rights Reserved, Bharat Heavy Electricals LimitedDeveloped & Maintained by Cyfuture', 'Announcements', 'News / Press Release', 'Notice Board', 'Us History of BHEL Vision'. This creates ambiguity for AI systems trying to identify ",
bhel,https://www.bhel.com/,deterministic,structured_data,medium,no,No Structured Data (JSON-LD) Found,"None of the 4 crawled pages contain JSON-LD structured data. AI systems and search engines rely on structured data to understand entity identity, products, and organization details in a machine-readable format.",
bhel,https://www.bhel.com/,reasoning,entity_identity,high,abstain,Entity Identity Ambiguity,"An AI system attempting to identify this brand would encounter 4 different names: 'Notice Board', '- All Rights Reserved, Bharat Heavy Electricals LimitedDeveloped & Maintained by Cyfuture', 'Announcements', 'News / Press Release'. These map to 4 distinct root names. This makes it impossible for AI ",
bhel,https://www.bhel.com/,reasoning,structured_data,medium,no,No Machine-Readable Brand Identity,"None of the 15 crawled pages contain JSON-LD structured data. AI systems use structured data to understand entity type, name, description, location, products, and relationships. Without it, the AI must infer these from unstructured text, which is less reliable.",
bhel,https://www.bhel.com/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:9600/annual-report-2025-26 returned 404.,
bhel,https://www.bhel.com/,specialist,entity_identity,high,abstain,Entity Name Inconsistency,"5 distinct names across 5 roots: 'Notice Board', '- All Rights Reserved, Bharat Heavy Electricals LimitedDeveloped & Maintained by Cyfuture', 'Announcements', 'News / Press Release', 'Us History of BHEL Vision'.",
bhel,https://www.bhel.com/,specialist,structured_data,medium,no,No Structured Data Found,None of 15 pages contain JSON-LD structured data.,
bhel,https://www.bhel.com/,hybrid,entity_identity,high,abstain,Entity Identity Ambiguity,"An AI system attempting to identify this brand would encounter 4 different names: 'Notice Board', '- All Rights Reserved, Bharat Heavy Electricals LimitedDeveloped & Maintained by Cyfuture', 'Announcements', 'News / Press Release'. These map to 4 distinct root names. This makes it impossible for AI ",
bhel,https://www.bhel.com/,hybrid,structured_data,medium,no,No Structured Data (JSON-LD) Found,"None of the 4 crawled pages contain JSON-LD structured data. AI systems and search engines rely on structured data to understand entity identity, products, and organization details in a machine-readable format.",
bikanervala,https://www.bikanervala.com/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
bikanervala,https://www.bikanervala.com/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/customer_authentication/redirect?locale=en&region_country=IN (404), http://127.0.0.1:9600/customer_authentication/redirect?locale=en&region_country=IN (404), http://127.0.0.1:9600/collections/sweets (404), http://127.0.0.1:9600/collections/sweets (404), h",
bikanervala,https://www.bikanervala.com/,baseline,other,high,abstain,Missing H1 Tag,No <h1> tag found in the HTML.,
bikanervala,https://www.bikanervala.com/,baseline,content_extraction,high,abstain,Thin Content,Word count is 93.,
bikanervala,https://www.bikanervala.com/,baseline,other,high,abstain,Render-Blocking CSS,Found 4 blocking stylesheets in <head>.,
bikanervala,https://www.bikanervala.com/,baseline,other,high,abstain,Missing Meta Description,No meta description found.,
bikanervala,https://www.bikanervala.com/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 319 characters.,
bikanervala,https://www.bikanervala.com/,baseline,other,medium,abstain,Skipped Heading Levels,Heading skipped from H2 to H5.,
bikanervala,https://www.bikanervala.com/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
bikanervala,https://www.bikanervala.com/,baseline,structured_data,medium,no,Missing JSON-LD,No JSON-LD script tags found.,
bikanervala,https://www.bikanervala.com/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 28 characters.,
bikanervala,https://www.bikanervala.com/,baseline,content_extraction,low,abstain,Low Text-to-HTML Ratio,Ratio is 0.25% (<10%).,
bikanervala,https://www.bikanervala.com/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 15 links missing rel=""noopener"" or rel=""noreferrer"".",
bluetokai,https://bluetokaicoffee.com/,baseline,other,critical,abstain,Page Not Using HTTPS,URL uses http:// instead of https://.,
bluetokai,https://bluetokaicoffee.com/,baseline,other,critical,abstain,Broken Internal Links,"Links to broken pages: http://127.0.0.1:9600/collections/easy-pour (404), http://127.0.0.1:9600/collections/cold-brew-coffee-bags (404), http://127.0.0.1:9600/collections/cold-brew-cans (404), http://127.0.0.1:9600/collections/drop-specialty-coffee-concentrate (404), http://127.0.0.1:9600/collection",
bluetokai,https://bluetokaicoffee.com/,baseline,content_extraction,high,no,Thin Content,Word count is 180.,
bluetokai,https://bluetokaicoffee.com/,baseline,other,high,abstain,Render-Blocking CSS,Found 7 blocking stylesheets in <head>.,
bluetokai,https://bluetokaicoffee.com/,baseline,crawlability,high,no,Missing Image Alt Text,3 out of 74 images lack an alt attribute.,
bluetokai,https://bluetokaicoffee.com/,baseline,other,high,abstain,Missing H1 Tag,No <h1> tag found in the HTML.,
bluetokai,https://bluetokaicoffee.com/,baseline,other,high,abstain,Missing Meta Description,No meta description found.,
bluetokai,https://bluetokaicoffee.com/,baseline,crawlability,high,no,Missing XML Sitemap,No sitemap URLs found in site data.,
bluetokai,https://bluetokaicoffee.com/,baseline,crawlability,medium,no,Canonical Points to Different URL,Canonical href (https://bluetokaicoffee.com/) differs from page URL (http://127.0.0.1:9600/).,
bluetokai,https://bluetokaicoffee.com/,baseline,other,medium,abstain,Suboptimal Title Length,Title length is 61 characters.,
bluetokai,https://bluetokaicoffee.com/,baseline,structured_data,medium,no,Missing JSON-LD,No JSON-LD script tags found.,
bluetokai,https://bluetokaicoffee.com/,baseline,other,medium,abstain,Images Missing Lazy Loading,"18 images lack loading=""lazy"".",
bluetokai,https://bluetokaicoffee.com/,baseline,other,medium,abstain,Missing Security Headers,"Missing headers: strict-transport-security, content-security-policy, x-frame-options, x-content-type-options",
bluetokai,https://bluetokaicoffee.com/,baseline,other,medium,abstain,Suboptimal Meta Description Length,Description length is 279 characters.,
bluetokai,https://bluetokaicoffee.com/,baseline,other,medium,abstain,Excessive DOM Size,Found 2214 HTML elements.,
bluetokai,https://bluetokaicoffee.com/,baseline,content_extraction,low,no,Low Text-to-HTML Ratio,Ratio is 0.26% (<10%).,
bluetokai,https://bluetokaicoffee.com/,baseline,other,low,abstain,"Unsafe target=""_blank"" Links","Found 3 links missing rel=""noopener"" or rel=""noreferrer"".",
bluetokai,https://bluetokaicoffee.com/,baseline,crawlability,low,no,Missing Form Labels,Found 1 form inputs without associated labels.,
bluetokai,https://bluetokaicoffee.com/,baseline,other,low,abstain,Non-Descriptive Anchor Text,Found 2 links with generic anchor text.,
